TRANSACTION DETAILS,Category
BBPS SETMNT FOR DT 261220,Other
IMPS I/W 201015 4C,Other
722423232567,Other
CASHDEP/GURGAON/,Cash Deposits
RTGS/ICICH18025422534/O I,Other
CR820515609674/RMCPL14558/2,Other
FDRL/NATIONAL ELECTRONIC F,Bank Transfers
Indiaforensic SERVICES INDIA PVT,Business Services
PAYU PAYMENTS PRIVATE LIM,Payment Gateways
STAMP PAPER PURCHASING,Other
FDRL/INTERNAL FUND TRANSFE,Bank Transfers
AEPS INC DT 100219 RMCPL,Other
TRF TO  Indiaforensic SERVICES I,Business Services
IMPS 822219634981 FROM OX,Other
IMPS O/W 230815 1C,Other
NEFT/FDRL428254349/Indiaforensic,Other
TRF FRM  Indiaforensic SERVICES,Business Services
Indiaforensic VISA ACQ INT 07081,Other
Indiaforensic RUP SETT 190219,Other
RTGS/SBINH18297049714/Indfor,Other
CASHDEP/NEW-DELHI/,Cash Deposits
IMPS 270218 2C,Other
RTGS/ICICH17061412207/Indfor,Other
NEFT CHARGES AND GST/0000,Other
RUPAY POS ACQ SETTL 13071,Other
IB:TPFT000037774851409000,Other
CASHDEP/VIKASMARG/TP/CASH,Cash Deposits
NEFT/000061938235/INDIAID,Other
IRCTC CORPORATE OFFICE AC,Travel
TRF TO  Indiaforensic SERVICES I,Business Services
TRF TO Indiaforensic SERVICES IN,Business Services
Payments For : 9090000492,Other
632517800441,Other
FDRL/INTERNAL FUND TRANSFE,Bank Transfers
CASHDEP/PITAMPURA/TP,Cash Deposits
FDRL/NATIONAL ELECTRONIC F,Bank Transfers
CASHDEP/NOIDA/TP,Cash Deposits
TRF FROM  Indiaforensic SERVICES,Business Services
CASHDEP/RAJOURI/,Cash Deposits
QWIKCILVER SOLUTIONS PRIV,Other
RTGS/PSIBH18200022858/SAI,Other
Indiaforensic VISA ACQ DOM081217,Other
CR717111565274/RMCPL14954/1,Other
FDRL/INTERNAL FUND TRANSFE,Bank Transfers
RTGS/HDFCH18205363444/JUN,Other
RTGS/ICICH17094593853/Indfor,Other
NEFT/PUGBH16323282208/Mr,Other
SERVICE TAX,Other
INTERNAL FUND TRANSFER IN,Bank Transfers
E-BILLING SOLUTIONS PRIVA,Other
Indiaforensic SERVICES INDIA PVT,Business Services
FDRL/INTERNAL FUND TRANSFE,Bank Transfers
CHQ DEP/16/OWDEL1/HDFC/28,Other
IMPS I/W 011015 1C,Other
IMPS 08092017 3C,Other
FDRL/NATIONAL ELECTRONIC F,Bank Transfers
NEFT/000030489588/RTGS PO,Other
CR711119185456/RMCPL02389/1,Other
FDRL/INTERNAL FUND TRANSFE,Bank Transfers
FDRL/INTERNAL FUND TRANSFE,Bank Transfers
CASHDEP/DAMAN/,Cash Deposits
FDRL/NATIONAL ELECTRONIC F,Bank Transfers
RTGS/PUNBH18152936811/PUN,Other
FDRL/INTERNAL FUND TRANSFE,Bank Transfers
Indiaforensic SERVICES INDIA PVT,Business Services
MICRO ATM GST DATED 03021,Other
NEFT/IDFBH17353954065/ART,Other
TRF FROM  Indiaforensic SERVICES,Business Services
AEPS INCOME DT 08-09-2018,Other
TRF TO  Indiaforensic SERVICES I,Business Services
Indfor INCOME INDO REMI03011,Other
INTERNAL FUND TRANSFER IN,Bank Transfers
CASHDEP/GURGAON/,Cash Deposits
17825-MASTERCARD BILL 300,Other
BBPS SETMNT FOR DT 171120,Other
IMPS 070220184C,Other
CASHDEP/SILVASSA/,Cash Deposits
RTGS/ICICH16049846693/Indfor,Other
MAW/502964XXXXXX0044/Karu,Other
DSB CASH PICKP IndiaforensicMET2,Cash Deposits
FDRL/NATIONAL ELECTRONIC F,Bank Transfers
Sweep Trf To: 40900036427,Bank Transfers
FDRL/NATIONAL ELECTRONIC F,Bank Transfers
TRF TO  Indiaforensic SERVICES I,Business Services
CASHDEP/RAJOURI/,Cash Deposits
IMPS 818314372197 FROM AS,Other
IMPS 819721824275 FROM OX,Other
IMPS OW 23122015 3C,Other
MEHAR ENTERTAINMENT PRIVA,Entertainment
NEFT/KKBK163092474153/Acc,Other
NEFT/AXISF16158046898/Indfor,Other
CASHDEP/RAJOURI/,Cash Deposits
CR827615053248/RMCPL13161/0,Other
RTGS/ICICH16120506750/Indfor,Other
ICA 17825 Indiaforensic MC DOM 1,Other
CR719213698946/RMCPL11388/1,Other
CR/702313417409/RMCPL09832/,Other
FUTURE RETAIL LIMITED,Other
RUPAY POS ACQ SETTL 03081,Other
RTGS/YESBH19022715911/IND,Other
FDRL/NATIONAL ELECTRONIC F,Bank Transfers
RTGS/SBINH15302676602/Indfor,Other
"Indiaforensic USA, INC./USD/7100",Other
CASHDEP/KAROL BAGH/LCT,Cash Deposits
Indiaforensic  RUPAY SETT 051018,Other
CASHDEP/FARIDABAD/TP,Cash Deposits
RTGS/HDFCH17236319795/PAY,Other
NORTH DELHI POWER LTD,Other
ALT DIGITAL MEDIA ENTERTA,Other
TRF FROM  Indiaforensic SERVICES,Business Services
CR721211958489/RMCPL14827/3,Other
CASHDEP/BORIVALI/,Cash Deposits
CASHDEP/PITAMPURA/TP,Cash Deposits
IMPS OW 18082016 3C,Other
IRCTC CORPORATE OFFICE AC,Travel
NEFT/KKBK163646753169/Acc,Other
CASHDEP/PITAMPURA/TP,Cash Deposits
FDRL/INTERNAL FUND TRANSFE,Bank Transfers
TRANGLO SDN BHD/USD/60000,Other
AEPS ACQREP ADJ FEES 1304,Other
TRF FRM  Indiaforensic SERVICES,Business Services
Indiaforensic NFS SETT 09-07-201,Other
DSB CASH PICKP IndiaforensicGUR2,Cash Deposits
PAYU PAYMENTS PRIVATE LIM,Payment Gateways
BSES RAJDHANI POWER LIMIT,Utilities
IMPS OW 08032017 4C,Other
Indiaforensic AEPS NPCI DEP SET,Other
NEFT/SBIN815226521241/Indfor,Other
CASHDEP/GURGAON/,Cash Deposits
CASHDEP/PITAMPURA/LCT,Cash Deposits
Payments For : 9090000464,Other
NPCI SETT DIFF_050818_1,Other
TRF FROM  Indiaforensic SERVICES,Business Services
CR823309325597/RMCPL19474/2,Other
CASHDEP/KAROL BAGH/,Cash Deposits
INTERNAL FUND TRANSFER IN,Bank Transfers
RTGS/SBINH16141044066/Indfor,Other
CASHDEP/HAUS KHAS/UMESH,Cash Deposits
FDRL/NATIONAL ELECTRONIC F,Bank Transfers
NEFT/P18071767617760/M/S,Other
Indiaforensic AEPS NPCI WDL SET,Other
CR816211418865/RMCPL25027/1,Other
Indiaforensic SERVICES INDIA PVT,Business Services
FDRL/INTERNAL FUND TRANSFE,Bank Transfers
728621685079,Other
Indiaforensic SERVICES INDIA PVT,Business Services
FDRL/NATIONAL ELECTRONIC F,Bank Transfers
CASHDEP/NOIDA/TP,Cash Deposits
CR827616057743/RMCPL20978/0,Other
Indiaforensic RUPAY POS ACQ12071,Other
FDRL/REAL TIME GROSS SETTL,Bank Transfers
CR803417723818/RMCPL14838/3,Other
AEPS ACQUIRING ADJ FEES 2,Other
TRF TO Indiaforensic SERVICES IN,Business Services
TRF TO Indiaforensic SERVICES IN,Business Services
FDRL/NATIONAL ELECTRONIC F,Bank Transfers
FDRL/INTERNAL FUND TRANSFE,Bank Transfers
FDRL/NATIONAL ELECTRONIC F,Bank Transfers
CASHDEP/RMALL/,Cash Deposits
CHQ DEP/368255/OWDEL1/HDF,Other
TRF TO  Indiaforensic SERVICES I,Business Services
BIGTREE ENTERTAINMENT PRI,Entertainment
DSB SHORT CASH SIKANDARPU,Other
TRF FROM  Indiaforensic SERVICES,Business Services
IMPS OW 17092016 3C,Other
FDRL/NATIONAL ELECTRONIC F,Bank Transfers
Indiaforensic NFS SETT 14-06-201,Other
RTGS/ICICH16133652896/Indfor,Other
Indfor INCOME INDO REMI05071,Other
RTGS/ICICH18012616391/O I,Other
625313437608,Other
IMPS 210417 2C,Other
NEFT/IDIBH18177343415/PAL,Other
TRF FROM  Indiaforensic SERVICES,Business Services
NEFT/N145180548020533/TEC,Other
RTGS/SBINH16261496446/Indfor,Other
FDRL/NATIONAL ELECTRONIC F,Bank Transfers
CHQ DEPOSIT RETURN/2/ACCO,Other
CR719110108568/RMCPL14412/1,Other
Indfor INCOME INDO REMI11071,Other
NEFT/AXISF16014060791/Indfor,Other
FDRL/INTERNAL FUND TRANSFE,Bank Transfers
IMPS RTN 19122016,Other
NEFT/KKBK162113905247/Acc,Other
TRF TO  Indiaforensic SERVICES I,Business Services
730620583618,Other
MICRO ATM GST DATED 27011,Other
FDRL/REAL TIME GROSS SETTL,Bank Transfers
BIGTREE ENTERTAINMENT PRI,Entertainment
NEFT/KKBK162951207581/Acc,Other
INTERNAL FUND TRANSFER IN,Bank Transfers
Indiaforensic RUPAY POS ACQ20111,Other
FUND TRF TO  RAINBOW STAT,Other
CASHDEP/NOIDA/TP,Cash Deposits
CR719911993276/RMCPL06758/1,Other
CASHDEP/RAJOURI/LCT,Cash Deposits
FDRL/NATIONAL ELECTRONIC F,Bank Transfers
TRF TO  Indiaforensic SERVICES I,Business Services
TRF FROM Indiaforensic SERVICES,Business Services
FDRL/INTERNAL FUND TRANSFE,Bank Transfers
Indiaforensic MASTER INT SET 300,Other
Loan Recovery For90900005,Other
Indiaforensic NFS SETT 26-09-201,Other
CASHDEP/PITAMPURA/TP,Cash Deposits
Indiaforensic NFS SETT 07-11-201,Other
IMAR00701806868,Other
NEFT/N181180574287895/BAT,Other
CHQ DEP/79845/OWDEL1/UBIN,Other
RTGS/BARBH17174950392/MAK,Other
FDRL/REAL TIME GROSS SETTL,Bank Transfers
RTGS/ICICH17079558876/Indfor,Other
Indiaforensic RUPAY POS C2 ACQ20,Other
MICRO ATM WDL FEE DT18101,Other
PAYU PAYMENTS PRIVATE LIM,Payment Gateways
CASHDEP/KAROL BAGH/,Cash Deposits
IMPS 090517 1C,Other
CASHDEP/NOIDA/TP,Cash Deposits
INTERNAL FUND TRANSFER IN,Bank Transfers
TRF TO 1196428  Indiaforensic SE,Other
CR712314247765/RMCPL11220/1,Other
FDRL/NATIONAL ELECTRONIC F,Bank Transfers
730018884956,Other
CASHDEP/SILVASSA/,Cash Deposits
BBPS DT 04062018,Other
FDRL/INTERNAL FUND TRANSFE,Bank Transfers
SERVICE TAX,Other
P2P NEFT SETTLEMENT  INTE,Other
CASHDEP/FARIDABAD/TP,Cash Deposits
FDRL/NATIONAL ELECTRONIC F,Bank Transfers
RTGS/YESBH16078134489/Indfor,Other
CASHDEP/VIKASMARG/TP,Cash Deposits
FDRL/NATIONAL ELECTRONIC F,Bank Transfers
IRCTC CORPORATE OFFICE AC,Travel
TRF TO  Indiaforensic SERVICES I,Business Services
NEFT/FDRL656260031/Indiaforensic,Other
CASHDEP/PITAMPURA/TP,Cash Deposits
DSB SHRT CSH Indfor 500X9 25,Other
IRCTC CORPORATE OFFICE AC,Travel
INTERNAL FUND TRANSFER IN,Bank Transfers
PAYU PAYMENTS PRIVATE LIM,Payment Gateways
IMPS I/W 190815 1C,Other
FDRL/INTERNAL FUND TRANSFE,Bank Transfers
TRF TO  Indiaforensic SERVICES I,Business Services
RTGS/PUNBH15345015068/Indfor,Other
IMPS 805420511873 FROM OX,Other
CR815510454883/RMCPL22312/0,Other
Indiaforensic NFS SETT 13-09-201,Other
IMPS OW 03082016 4C,Other
AEPS Indiaforensic S TAX 040816,Other
TRF TO  Indiaforensic SERVICES I,Business Services
CASHDEP/NOIDA/TP,Cash Deposits
NOMISMA MOBILE SOLUTIONS,Finance
FDRL/NATIONAL ELECTRONIC F,Bank Transfers
COMMDEL CONSULTING SERVIC,Other
CR712317178105/RMCPL02810/1,Other
TRF FROM  Indiaforensic SERVICES,Business Services
CASHDEP/VIKASMARG/TP,Cash Deposits
NEFT/FDRL334265467/Indiaforensic,Other
REV AEPS GST DT 14-06-201,Other
CR816917548522/RMCPL11764/1,Other
IMPS RET 07052016 1C,Other
FDRL/REAL TIME GROSS SETTL,Bank Transfers
IRCTC CORPORATE OFFICE AC,Travel
IMPS 1102193C,Other
RTGS/YESBH16244698377/Indfor,Other
CASHDEP/NEW-DELHI/,Cash Deposits
YOURSELF FOR BULK NEFT  B,Other
RTGS/ICICH15233026150/Indfor,Other
FDRL/INTERNAL FUND TRANSFE,Bank Transfers
MEHAR ENTERTAINMENT PRIVA,Entertainment
NEFT/AXISF16103091182/Indfor,Other
IMPS IW 08092016 1C,Other
INTERNAL FUND TRANSFER IN,Bank Transfers
NEFT/SBIN915288699887/Indfor,Other
FDRL/INTERNAL FUND TRANSFE,Bank Transfers
IMPS IW 24092016 1C,Other
Indiaforensic AEPS NPCI DEP SET,Other
TRF FRM  Indiaforensic SERVICES,Business Services
Indiaforensic NFS SETT 06-10-201,Other
Indiaforensic NFS SETT 23-01-201,Other
CR826916444394/RMCPL23228/2,Other
CR/702912562923/RMCPL09844/,Other
FUND TRF FROM  Indiaforensic SER,Other
IMPS IW 02092016 4C,Other
FDRL/INTERNAL FUND TRANSFE,Bank Transfers
BIGTREE ENTERTAINMENT PRI,Entertainment
IMPS 815919766576 FROM OX,Other
RTGS/CITIH16055703052/PAY,Other
INTERNAL FUND TRANSFER IN,Bank Transfers
FDRL/INTERNAL FUND TRANSFE,Bank Transfers
FDRL/REAL TIME GROSS SETTL,Bank Transfers
FDRL/INTERNAL FUND TRANSFE,Bank Transfers
BILLPAY TATA POWER (TATA,Other
FDRL/INTERNAL FUND TRANSFE,Bank Transfers
CASHDEP/GURGAON/,Cash Deposits
PAYU PAYMENTS PRIVATE LIM,Payment Gateways
CASHDEP/KAROL BAGH/,Cash Deposits
TRF TO  Indiaforensic SERVICES I,Business Services
UPI/724911986978/70809051,Other
Indiaforensic SERVICES INDIA PVT,Business Services
FDRL/NATIONAL ELECTRONIC F,Bank Transfers
CASHDEP/PITAMPURA/TP,Cash Deposits
RTGS/HDFCH16081967494/AVA,Other
Indiaforensic NFS SETT 16-09-201,Other
CASHDEP/NOIDA/TP,Cash Deposits
INDO GIBL Indiaforensic STL16041,Other
NEFT/N317160206177851/ENS,Other
AEPS ACQ GF723210735057/R,Other
RTGS/IDFBH17312300664/ART,Other
Indiaforensic NFS SETT 25-07-201,Other
CASHDEP/NOIDA/TP,Cash Deposits
CASHDEP/PITAMPURA/TP,Cash Deposits
IMPS 180220191C,Other
FUJIAN NEWLAND PAYMENT TE,Other
IMPS OW 09082016 1C,Other
FDRL/INTERNAL FUND TRANSFE,Bank Transfers
TRF FROM  Indiaforensic SERVICES,Business Services
FDRL/INTERNAL FUND TRANSFE,Bank Transfers
CASHDEP/GURGAON/,Cash Deposits
NEFT/AXIC172293427285/Indfor,Other
IMPS 804020625744 FROM OX,Other
NEFT/AXISP18025035632/ACC,Other
IMPS 834017024365 FROM OX,Other
FDRL/NATIONAL ELECTRONIC F,Bank Transfers
TRF TO  Indiaforensic SERVICES I,Business Services
FDRL/INTERNAL FUND TRANSFE,Bank Transfers
CB807910807688/RMCPL13546/2,Other
RTGS/SBINH18193024348/SRI,Other
CASHDEP/NOIDA/TP,Cash Deposits
CR822611659240/RMCPL09617/1,Other
INDIAIDEAS.COM LTD,Payment Gateways
632817647084,Other
IB:TPFT000035658671409000,Other
Indiaforensic RUPAY POS C2 ACQ23,Other
CR719217842389/RMCPL01289/1,Other
FDRL/INTERNAL FUND TRANSFE,Bank Transfers
NEFT/KKBK162113905258/Acc,Other
CR825110895007/RMCPL15016/0,Other
RTGS/ICICH15339113953/Indfor,Other
TRF TO Indiaforensic SERVICES IN,Business Services
CASHDEP/KAROL BAGH/,Cash Deposits
FDRL/REAL TIME GROSS SETTL,Bank Transfers
CASHDEP/KALYAN-W/,Cash Deposits
FDRL/INTERNAL FUND TRANSFE,Bank Transfers
CASHDEP/KAROL BAGH/LCT,Cash Deposits
INTERNAL FUND TRANSFER IN,Bank Transfers
Sweep Trf To: 40900036427,Bank Transfers
OXYGEN NFS SETT 07-07-201,Other
CASHDEP/KAROL BAGH/,Cash Deposits
NEFT/FDRL610111126/SARVATR,Other
INDIAIDEAS.COM LTD,Payment Gateways
TRF FRM  Indiaforensic SERVICES,Business Services
RTGS/IDFBH17304300276/ART,Other
CASHDEP/BHI-BSC/,Cash Deposits
IMPS-732018638304,Other
NEFT/000048055027/Indiaforensic,Other
CR717211120573/RMCPL10326/1,Other
Indiaforensic RUPAY STL INTC1710,Other
CASHDEP/RAJOURI/,Cash Deposits
CASHDEP/VILE-PARLE/,Cash Deposits
FDRL/REAL TIME GROSS SETTL,Bank Transfers
Indiaforensic VISA ACQ INT 23121,Other
IMPS O/W RTN & CHGBACK 17,Other
CASHDEP/NOIDA/TP,Cash Deposits
FDRL/INTERNAL FUND TRANSFE,Bank Transfers
NPCI_SETT_DIFF_LOT1_20021,Other
AVENUES INDIA PRIVATE LIM,Payment Gateways
IMPS OW 04042016 3C,Other
Indiaforensic MASTER ACQ DOM2310,Other
Indiaforensic RUPAY SETT 040718,Other
FDRL/INTERNAL FUND TRANSFE,Bank Transfers
DSB CASH PICKP Indiaforensic MET,Cash Deposits
Indiaforensic NFS SETT 26-12-201,Other
FDRL/INTERNAL FUND TRANSFE,Bank Transfers
CASHDEP/GURGAON/LCT,Cash Deposits
VOYLLA FASHIONS PRIVATE L,Other
CHQ DEP/2792/OWDEL1/SBIN/,Other
NEFT/FDRL387160448/Indiaforensic,Other
TRANSFER TO  Indiaforensic SERVI,Other
QWIKCILVER SOLUTIONS PRIV,Other
FIXED  MOBILE PTE LTD/USD,Other
CASHDEP/KAROL BAGH/,Cash Deposits
JUST DIAL LIMITED,Business Services
CHQ DEP/9269/OWDEL1/MAHB/,Other
CASHDEP/NOIDA/TP,Cash Deposits
AEPS INCOME DT 13-09-2018,Other
IMPS 819721824884 FROM OX,Other
CHQ DEP/3359/OWDEL1/SBIN/,Other
CASHDEP/GURGAON/,Cash Deposits
IMPS 290620183C,Other
PASFAR TECHNOLOGIES PRIVA,Business Services
Sweep Trf To: 40900036427,Bank Transfers
CR717512752050/RMCPL11951/1,Other
FDRL/INTERNAL FUND TRANSFE,Bank Transfers
IMPS I/W 211015 3C,Other
IMPS 1311171C,Other
AEPS Indiaforensic S TAX 140517,Other
Indiaforensic NFS SETT 04-11-201,Other
Indiaforensic RUPAY SETT 040718_,Other
NEFT/AXIC162535075207/Indfor,Other
CR814913883552/RMCPL14048/2,Other
RTGS/ICICH15198066373/Indfor,Other
CR818511536215/RMCPL12778/0,Other
Indiaforensic MASTER ACQ DOM2510,Other
NEFT/000028095468/QWIKCIL,Other
FDRL/NATIONAL ELECTRONIC F,Bank Transfers
FDRL/NATIONAL ELECTRONIC F,Bank Transfers
FDRL/REAL TIME GROSS SETTL,Bank Transfers
FDRL/NATIONAL ELECTRONIC F,Bank Transfers
CASHDEP/HAUS KHAS/UMESH,Cash Deposits
730019893525,Other
FDRL/INTERNAL FUND TRANSFE,Bank Transfers
CR719910971060/RMCPL09738/1,Other
FDRL/INTERNAL FUND TRANSFE,Bank Transfers
AVENUES INDIA PRIVATE LIM,Payment Gateways
CASHDEP/KAROL BAGH/,Cash Deposits
NEFT/KKBK163233408161/Acc,Other
Indiaforensic VISA ACQ DOM080218,Other
Sweep Trf To: 40900036427,Bank Transfers
IMPS OW 14022017 1C,Other
TRF FROM Indiaforensic SERVICES,Business Services
IMPS 2506181C,Other
LOCALCUBE COMMERCE PRIVAT,Business Services
PASFAR TECHNOLOGIES PRIVA,Business Services
CASHDEP/NOIDA/TP,Cash Deposits
IMPS OW 30072016 3C,Other
INTERNAL FUND TRANSFER IN,Bank Transfers
AEPS GST INC DT 18-02-201,Other
CASHDEP/GURGAON/,Cash Deposits
FDRL/NATIONAL ELECTRONIC F,Bank Transfers
NEFT/IOBAN18125560427/NAR,Other
IMPS 819721828667 FROM OX,Other
CR/703317380309/RMCPL09998/,Other
Indiaforensic NFS SETT 09-08-201,Other
FDRL/NATIONAL ELECTRONIC F,Bank Transfers
FIXED   MOBILE PTE LTD/US,Other
CR717319954847/RMCPL10102/1,Other
TRF FROM  Indiaforensic SERVICES,Business Services
Sweep Trf To: 40900036427,Bank Transfers
FDRL/INTERNAL FUND TRANSFE,Bank Transfers
Indiaforensic NFS SETT 07-11-201,Other
IMPS 1308184C,Other
RTGS/HDFCH17242656984/PAY,Other
BIGTREE ENTERTAINMENT PRI,Entertainment
CR720117114130/RMCPL14875/2,Other
NEFT/FDRL334265652/Indiaforensic,Other
CASHDEP/SILVASSA/,Cash Deposits
FDRL/REAL TIME GROSS SETTL,Bank Transfers
S B CESS DEC 16,Other
CASHDEP/BHI-RIICO/,Cash Deposits
NEFT/KKBK162234699947/Acc,Other
FDRL/NATIONAL ELECTRONIC F,Bank Transfers
OXYGEN NFS SETT 07-07-201,Other
CASHDEP/KAROL BAGH/,Cash Deposits
AEPS INCOME DT 01-12-2018,Other
IMPS O/W 071215 4C,Other
FDRL/NATIONAL ELECTRONIC F,Bank Transfers
FDRL/INTERNAL FUND TRANSFE,Bank Transfers
MAESTRO POSDOM ACQ SETTL0,Other
Indiaforensic NFS SETT 29-09-201,Other
TRF FROM  Indiaforensic SERVICES,Business Services
Indiaforensic  RUPAY SETT 140618,Other
CASHDEP/FARIDABAD/TP,Cash Deposits
INTERNAL FUND TRANSFER IN,Bank Transfers
Indiaforensic NFS SETT 11-01-201,Other
TRF FRM  Indiaforensic SERVICES,Business Services
CASHDEP/VIKASMARG/TP,Cash Deposits
RTGS/HDFCH17336385047/PAY,Other
CASHDEP/PANIPAT/0146,Cash Deposits
CASHDEP/NOIDA/TP,Cash Deposits
BIGTREE ENTERTAINMENT PRI,Entertainment
RTGS/SCBLH16148000580/VIS,Other
IMPS 170417 4C,Other
FDRL/INTERNAL FUND TRANSFE,Bank Transfers
FDRL/REAL TIME GROSS SETTL,Bank Transfers
701113192150,Other
CASHDEP/VAPI/,Cash Deposits
TRF TOESC,Other
INTERNAL FUND TRANSFER IN,Bank Transfers
CASHDEP/NOIDA/SELF,Cash Deposits
CASHDEP/HAUS KHAS/JASPREE,Cash Deposits
CR719910971046/RMCPL13123/1,Other
TRF FROM  Indiaforensic SERVICES,Business Services
IRCTC CORPORATE OFFICE AC,Travel
NEFT/000051847331/Indiaforensic,Other
RTGS/SBINH16011577908/Indfor,Other
TRF FROM  Indiaforensic SERVICES,Business Services
CASHDEP/GURGAON/,Cash Deposits
CASHDEP/GURGAON/,Cash Deposits
NEFT/SBIN616107104390/Indfor,Other
Indiaforensic RUP STL INTC010219,Other
INTERNAL FUND TRANSFER IN,Bank Transfers
Indiaforensic AEPS NPCI WDL SET,Other
CR818717165778/RMCPL18014/0,Other
CR713517318955/RMCPL00845/1,Other
RUPAY POS ACQ SETTL 11091,Other
INTERNAL FUND TRANSFER IN,Bank Transfers
CASHDEP/GURGAON/,Cash Deposits
TRF FRM  Indiaforensic SERVICES,Business Services
FDRL/INTERNAL FUND TRANSFE,Bank Transfers
TRF TO  Indiaforensic SERVICES I,Business Services
AEPS INCOME DT 03-07-2018,Other
FDRL/REAL TIME GROSS SETTL,Bank Transfers
Indiaforensic AEPS NPCI WDL SET,Other
IMPS OW 01122015 3C,Other
IMPS 824618970752 FROM OX,Other
Sweep Trf To: 40900036427,Bank Transfers
CR800216339330/RMCPL20241/0,Other
BEAT CSH PKP DEL GURG 620,Other
RTGS/SBINH16361025654/Indfor,Other
CR725611987152/RMCPL12411/1,Other
IRTT00701602992,Other
IMPS 823620174107 FROM OX,Other
FDRL/NATIONAL ELECTRONIC F,Bank Transfers
Indiaforensic NFS SETT 01-08-201,Other
IMPS IW 08042016 2C,Other
CASHDEP/KAROL BAGH/,Cash Deposits
IMPS O/W 140815 3C,Other
FDRL/NATIONAL ELECTRONIC F,Bank Transfers
FDRL/NATIONAL ELECTRONIC F,Bank Transfers
CR822811159473/RMCPL16917/1,Other
CR822115494737/RMCPL22148/0,Other
Indiaforensic SERVICES INDIA PVT,Business Services
CASHDEP/GURGAON/LCT,Cash Deposits
FDRL/NATIONAL ELECTRONIC F,Bank Transfers
Indiaforensic NFS SETT 27-07-201,Other
Sweep Trf From: 709003957,Other
RTGS/ICICH15272067897/Indfor,Other
CHQ DEP/896713/OWDEL1/SBI,Other
FDRL/INTERNAL FUND TRANSFE,Bank Transfers
CASHDEP/GURGAON/,Cash Deposits
IMPS RET 24042016 1C,Other
VISA POSDOM ACQ SETTL 070,Other
NEFT/000067803164/INDIAN,Other
Indiaforensic NFS SETT 25-09-201,Other
IMPS 834517728282 FROM OX,Other
CR719816668691/RMCPL14573/1,Other
AEPS ACQ INCOME SHARING 1,Other
IMPS IW 27012017 3C,Other
IMPS 2906181C,Other
IMPS O/W  150915 2C,Other
DSB DISCRPNT CSH KOL 1710,Other
Indiaforensic NFS SETT 21-10-201,Other
FDRL/INTERNAL FUND TRANSFE,Bank Transfers
RTGS/CIUBH16357002651/Indfor,Other
FDRL/NATIONAL ELECTRONIC F,Bank Transfers
TELEPOWER COMMUNICATION C,Other
IRCTC CORPORATE OFFICE AC,Travel
NORTH DELHI POWER LTD,Other
CR719511141879/RMCPL09851/1,Other
632617661818,Other
NEFT/KKBK173465518479/Acc,Other
IMPS 801715898330 FROM PA,Other
CHQ DEPOSIT RETURN/956551,Other
Indiaforensic AEPS NPCI WDL SET,Other
FDRL/INTERNAL FUND TRANSFE,Bank Transfers
NEFT CHARGES AND GST/0000,Other
RTGS/SBINH18302009857/Indfor,Other
TRF TO  Indiaforensic SERVICES I,Business Services
IMPS 823620173160 FROM OX,Other
Indiaforensic  RUPAY SETT 010818,Other
FDRL/INTERNAL FUND TRANSFE,Bank Transfers
RTGS/YESBH16169460880/Indfor,Other
NEFT/AXISF16112031558/Indfor,Other
RTGS/SBINH16355036201/Indfor,Other
TRF TO  Indiaforensic SERVICES I,Business Services
Indiaforensic RUPAY POS ACQ25021,Other
Indiaforensic NFS SETT 07-10-201,Other
RTGS/HDFCH16299260998/Indfor,Other
CASHDEP/GURGAON/,Cash Deposits
AEPS Indiaforensic INCOME 190218,Other
FUND TRF FROM  Indiaforensic SER,Other
Indiaforensic NFS SETT 07-10-201,Other
INDO GIBL Indiaforensic STL13121,Other
Indiaforensic MAESTRO ACQ DOM280,Other
INDIAIDEAS.COM LTD,Payment Gateways
CR822616737134/RMCPL09409/1,Other
TRF TO  Indiaforensic SERVICES I,Business Services
INTERNAL FUND TRANSFER IN,Bank Transfers
IMPS RET 19012017 SER,Other
CR824810166083/RMCPL21260/0,Other
TRF TO  Indiaforensic SERVICES I,Business Services
TRF TO  Indiaforensic SERVICES I,Business Services
RTGS/ICICH18239570054/Indfor,Other
Indiaforensic RUPAY POS ACQ08111,Other
Sweep Trf To: 40900036427,Bank Transfers
RTGS/ICICH16061846469/Indfor,Other
FDRL/INTERNAL FUND TRANSFE,Bank Transfers
INDIAIDEAS.COM LTD,Payment Gateways
IMPS IW 02102016 3C,Other
AVENUES INDIA PRIVATE LIM,Payment Gateways
COMMISSION CHARGES,Other
IMPS 813314489683 FROM OX,Other
IMPS O/W 220815 3C,Other
IMPS 310520182C,Other
CASHDEP/SURAT/,Cash Deposits
CHQ DEP/286824/OWDEL1/SBI,Other
FDRL/NATIONAL ELECTRONIC F,Bank Transfers
CB822509342226/RMCPL21549/1,Other
CASHDEP/GURGAON/LCT,Cash Deposits
CB6071530498371001838 RMCPL,Other
Indiaforensic MASTER INT SET 070,Other
Indiaforensic RUPAY STL INTC2510,Other
CASHDEP/SADARBAZAR/,Cash Deposits
CASHDEP/RAJOURI/,Cash Deposits
CASHDEP/VASANTVIHA/,Cash Deposits
CASHDEP/RAJOURI/,Cash Deposits
CR808112535248/RMCPL20906/2,Other
FDRL/NATIONAL ELECTRONIC F,Bank Transfers
TRF TO  Indiaforensic SERVICES I,Business Services
CASHDEP/RMALL/,Cash Deposits
Indiaforensic VISA ACQ DOM251018,Other
AEPS GST INC DT 02-12-201,Other
